Time,Price,Volume
2016-02-29 09:30:00.558,167.1245,4545
2016-02-29 09:30:02.517,166.1335,654
2016-02-29 09:30:02.890,166.6623,2934
2016-02-29 09:30:12.462,167.7595,4449
2016-02-29 09:30:15.846,166.718,538
2016-02-29 09:30:20.176,167.6979,3941
2016-02-29 09:30:26.565,167.6468,4400
2016-02-29 09:30:31.388,167.7349,4206
2016-02-29 09:30:40.688,166.7794,2056
2016-02-29 09:30:45.120,168.4403,3771
2016-02-29 09:30:46.971,169.9209,4348
2016-02-29 09:30:48.388,170.7083,4122
2016-02-29 09:30:49.921,171.2112,4798
2016-02-29 09:30:58.420,169.6673,3485
2016-02-29 09:31:01.266,168.7253,661
2016-02-29 09:31:02.456,167.1646,2704
2016-02-29 09:31:12.159,167.3873,2887
2016-02-29 09:31:15.449,167.2831,2787
2016-02-29 09:31:17.368,168.0177,438
2016-02-29 09:31:17.557,166.5164,3785
2016-02-29 09:31:24.007,167.9518,1472
2016-02-29 09:31:28.997,169.2695,3270
2016-02-29 09:31:35.493,168.3119,1133
2016-02-29 09:31:36.218,169.0237,2595
2016-02-29 09:31:45.419,167.8794,94
2016-02-29 09:31:55.307,169.4429,623
2016-02-29 09:32:02.243,171.0953,2604
2016-02-29 09:32:03.895,172.2359,4313
2016-02-29 09:32:06.012,171.6809,1979
2016-02-29 09:32:09.941,171.9302,3350
2016-02-29 09:32:12.309,171.7952,2977
2016-02-29 09:32:13.033,170.5719,735
2016-02-29 09:32:15.939,169.2492,2726
2016-02-29 09:32:16.619,170.2137,3382
2016-02-29 09:32:25.754,169.8796,238
2016-02-29 09:32:31.476,169.8373,1649
2016-02-29 09:32:34.611,171.261,1153
2016-02-29 09:32:36.487,172.1106,1438
2016-02-29 09:32:37.293,173.5211,2056
2016-02-29 09:32:38.007,173.3031,1098
2016-02-29 09:32:44.846,174.5526,243
2016-02-29 09:32:46.083,174.8274,1532
2016-02-29 09:32:53.955,176.357,3099
2016-02-29 09:33:03.853,177.2059,445
2016-02-29 09:33:04.059,176.9339,1185
2016-02-29 09:33:08.085,176.529,3210
2016-02-29 09:33:15.680,177.1643,2717
2016-02-29 09:33:24.548,176.3937,2390
2016-02-29 09:33:26.466,177.0547,2801
2016-02-29 09:33:28.609,176.1764,917
2016-02-29 09:33:29.483,175.7964,4015
2016-02-29 09:33:32.921,174.4974,3445
2016-02-29 09:33:42.020,174.4102,4095
2016-02-29 09:33:49.003,174.711,160
2016-02-29 09:33:52.968,176.2022,4827
2016-02-29 09:33:59.320,176.006,215
2016-02-29 09:34:00.488,175.4351,4404
2016-02-29 09:34:03.552,173.7622,3240
